trip_id,start_time,isPassingPeriod,days
10101,730,,
10102,750,,
10103,810,,
10104,830,,
10105,910,,
10106,930,,
10107,950,,
10108,1010,,
10109,1130,,
10110,1150,,
10111,1210,,
10112,1230,,
10113,1310,,
10114,1330,,
10115,1350,,
10116,1410,,
10201,850,,
10202,1030,,
10203,1050,,
10204,1110,,
10205,1250,,
10206,1430,,
10301,1450,,
10302,1510,,
10303,1530,,
10304,1550,,
10305,1630,,
10306,1650,,
10307,1710,,
10308,1730,,
10401,1440,,
10402,1500,,
10403,1520,,
10404,1540,,
10405,1610,,
10406,1700,,
10407,1720,,
10408,1750,,
